Filename,Time (s),Memory (KB)
miscmatrices.cpp,2.36,147060
geo_alignedbox.cpp,3.82,216316
jacobi.cpp,4.92,250540
commainitializer.cpp,3.30,162168
ref.cpp,12.49,408220
stddeque_overload.cpp,5.63,259252
smallvectors.cpp,3.13,161588
mapped_matrix.cpp,2.54,132884
stable_norm.cpp,16.93,434156
mapped_matrix.cpp,6.22,238792
sparse_solvers.cpp,9.33,326100
mapped_matrix.cpp,2.19,130084
mapped_matrix.cpp,2.51,132704
geo_transformations.cpp,14.09,490664
product_small.cpp,29.02,686676
mapped_matrix.cpp,2.72,136396
qr.cpp,2.08,129340
sparse_block.cpp,16.54,465988
linearstructure.cpp,6.31,280576
ref.cpp,12.27,408096
mapstride.cpp,7.84,353420
jacobisvd.cpp,143.93,1904268
unalignedassert.cpp,5.62,289096
cholesky.cpp,38.93,704008
geo_quaternion.cpp,36.84,872632
eigensolver_complex.cpp,30.25,712096
mapstride.cpp,18.66,492044
mapstride.cpp,7.47,299004
array_replicate.cpp,5.20,255680
mapstaticmethods.cpp,6.43,314576
mapped_matrix.cpp,5.88,274140
mapstaticmethods.cpp,6.15,307744
mapstaticmethods.cpp,4.43,220736
geo_alignedbox.cpp,3.09,190212
upperbidiagonalization.cpp,37.98,798904
mapstaticmethods.cpp,4.91,219260
array_cwise.cpp,31.60,882492
array_for_matrix.cpp,2.41,155104
vectorization_logic.cpp,36.51,837072
array_cwise.cpp,36.65,943816
stdlist_overload.cpp,5.57,279564
array_cwise.cpp,46.32,1014308
stable_norm.cpp,8.99,324676
sparse_permutations.cpp,14.80,329188
array_cwise.cpp,49.28,1001252
jacobisvd.cpp,57.16,1092580
nomalloc.cpp,4.08,210272
product_trmm.cpp,72.59,1213876
array_cwise.cpp,68.93,1279852
cholesky.cpp,1.88,119804
product_small.cpp,31.05,831664
array_for_matrix.cpp,18.23,621004
array_for_matrix.cpp,13.02,436668
nullary.cpp,4.74,287508
product_symm.cpp,17.60,473056
product_trmm.cpp,1.39,104464
array_for_matrix.cpp,29.19,717476
exceptions.cpp,7.89,251124
product_trsolve.cpp,18.88,473480
qr.cpp,15.74,442196
array_for_matrix.cpp,2.30,155468
bicgstab.cpp,38.28,843404
array_replicate.cpp,5.10,245624
product_selfadjoint.cpp,7.54,312392
product_selfadjoint.cpp,7.25,315416
product_trmm.cpp,81.99,1220752
array_replicate.cpp,5.87,250252
block.cpp,40.19,814736
product_trsolve.cpp,8.93,362896
dontalign.cpp,57.40,1149656
array_replicate.cpp,5.96,244200
swap.cpp,3.78,202284
selfadjoint.cpp,3.14,178076
array_replicate.cpp,5.12,235516
array_reverse.cpp,5.52,284404
array_reverse.cpp,5.70,300268
symbolic_index.cpp,1.63,112296
miscmatrices.cpp,2.79,153020
product_symm.cpp,15.64,427964
stddeque.cpp,4.36,201172
array_reverse.cpp,6.95,301448
mapped_matrix.cpp,2.19,130596
selfadjoint.cpp,3.64,192672
visitor.cpp,4.59,192252
array_reverse.cpp,8.51,317352
array_reverse.cpp,6.34,297692
inplace_decomposition.cpp,39.38,910684
array_reverse.cpp,6.73,314364
schur_complex.cpp,22.50,570172
nullary.cpp,8.13,346780
triangular.cpp,33.10,750520
array_reverse.cpp,7.86,315700
product_large.cpp,58.50,1110312
is_same_dense.cpp,2.37,137340
product_notemporary.cpp,65.82,1161416
bandmatrix.cpp,3.72,183572
ref.cpp,22.38,583312
ref.cpp,21.87,605032
sparse_basic.cpp,49.53,827256
eigensolver_generic.cpp,37.01,917844
ref.cpp,21.23,554212
ref.cpp,27.71,664456
triangular.cpp,4.22,177700
sparse_vector.cpp,10.30,328236
array_cwise.cpp,26.92,670412
triangular.cpp,23.09,536176
qr.cpp,1.77,113324
selfadjoint.cpp,3.38,181432
geo_quaternion.cpp,39.01,879028
selfadjoint.cpp,4.42,197580
selfadjoint.cpp,4.43,195312
product_selfadjoint.cpp,5.99,310044
